record_id,ssid,bssid,rssi
550,iptime,70:5d:cc:ae:2e:d4,-89
550,eduroam,f0:5c:19:a9:b3:81,-95
550,Smart-CAU_2.4G,f0:5c:19:a9:b3:82,-92
550,Smart-CAU_2.4G,48:00:20:89:ab:11,-91
550,eduroam,48:00:20:89:ab:10,-89
550,eduroam,f0:5c:19:a9:b8:21,-93
550,Smart-CAU_2.4G,f0:5c:19:a9:ba:82,-82
550,eduroam,f0:5c:19:a9:ba:81,-84
550,eduroam,48:00:20:89:ab:01,-90
550,Smart-CAU,48:00:20:89:ab:00,-90
550,Smart-CAU_2.4G,48:00:20:89:ab:03,-90
550,Smart-CAU_5G,48:00:20:89:ab:02,-90
550,310-320,70:5d:cc:69:8d:ca,-89
550,eduroam,48:00:20:87:77:f1,-84
550,Smart-CAU_5G,48:00:20:87:77:f2,-84
550,Smart-CAU,48:00:20:87:77:f0,-84
550,Smart-CAU_2.4G,48:00:20:87:77:f3,-84
550,Smart-CAU_2.4G,48:00:20:86:f6:71,-91
550,eduroam,48:00:20:86:f6:70,-89
550,Smart-CAU,f0:5c:19:a9:b8:50,-90
550,Smart-CAU_2.4G,f0:5c:19:a9:b8:53,-90
550,Smart-CAU_5G,f0:5c:19:a9:b8:52,-90
550,eduroam,f0:5c:19:a9:b8:51,-91
550,eduroam,48:00:20:86:f6:61,-77
550,Smart-CAU_5G,f0:5c:19:a9:e9:72,-86
550,Smart-CAU,48:00:20:86:f6:60,-77
550,eduroam,f0:5c:19:a9:e9:71,-86
550,Smart-CAU,f0:5c:19:a9:ba:30,-90
550,Smart-CAU_2.4G,48:00:20:86:f6:63,-77
550,Smart-CAU_5G,48:00:20:86:f6:62,-77
550,Smart-CAU_2.4G,f0:5c:19:a9:e9:73,-86
550,Smart-CAU,f0:5c:19:a9:e9:70,-86
550,Smart-CAU_2.4G,f0:5c:19:a9:ae:e2,-93
550,eduroam,f0:5c:19:a9:ae:e1,-91
550,Smart-CAU,b4:5d:50:a0:78:90,-83
550,Smart-CAU_5G,b4:5d:50:a0:78:92,-83
550,eduroam,b4:5d:50:a0:78:91,-83
550,eduroam,f0:5c:19:a9:b3:51,-89
550,Smart-CAU_2.4G,f0:5c:19:a9:b3:53,-91
550,Smart-CAU_2.4G,f0:5c:19:a9:e9:62,-96
550,Smart-CAU_2.4G,48:00:20:87:78:01,-91
550,Smart-CAU,f0:5c:19:a9:ae:f0,-93
550,Smart-CAU_5G,f0:5c:19:a9:ae:f2,-93
550,Smart-CAU_2.4G,b4:5d:50:a0:78:82,-91
550,eduroam,b4:5d:50:a0:78:80,-91
550,iptime,58:86:94:ba:53:7c,-91
550,310-320,70:5d:cc:69:97:7c,-90
550,[LG_AirPurifier]78b6,da:e3:5e:13:78:b6,-93
550,eduroam,f0:5c:19:a9:ab:e1,-93
550,Smart-CAU_2.4G,f0:5c:19:a9:ab:e2,-93
550,Smart-CAU_2.4G,f0:5c:19:a9:af:a2,-94
550,eduroam,f0:5c:19:a9:ba:21,-94
