record_id,ssid,bssid,rssi
689,iptime,70:5d:cc:ae:2e:d4,-82
689,Smart-CAU_2.4G,48:00:20:89:ab:11,-77
689,eduroam,48:00:20:89:ab:10,-77
689,Smart-CAU_5G,f0:5c:19:a9:b7:52,-86
689,Smart-CAU_2.4G,f0:5c:19:a9:b7:53,-85
689,Smart-CAU,f0:5c:19:a9:b7:50,-86
689,eduroam,f0:5c:19:a9:b7:51,-86
689,Smart-CAU_2.4G,f0:5c:19:a9:ba:82,-94
689,eduroam,48:00:20:89:ab:01,-75
689,Smart-CAU,48:00:20:89:ab:00,-75
689,Smart-CAU_2.4G,48:00:20:89:ab:03,-75
689,Smart-CAU_5G,48:00:20:89:ab:02,-75
689,eduroam,f0:5c:19:a9:e9:b1,-84
689,iptime,88:36:6c:d4:1c:28,-79
689,Smart-CAU,f0:5c:19:a9:e9:b0,-82
689,Smart-CAU_2.4G,f0:5c:19:a9:e9:b3,-85
689,Smart-CAU_5G,f0:5c:19:a9:e9:b2,-84
689,310-320,70:5d:cc:69:8d:ca,-90
689,eduroam,b4:5d:50:9f:f6:f1,-84
689,Smart-CAU_5G,b4:5d:50:9f:f6:f2,-83
689,Smart-CAU_2.4G,b4:5d:50:9f:f6:f3,-83
689,Smart-CAU,b4:5d:50:9f:f6:f0,-83
689,eduroam,48:00:20:87:77:f1,-77
689,eduroam,48:00:20:89:61:b1,-87
689,Smart-CAU_5G,48:00:20:87:77:f2,-77
689,Smart-CAU,48:00:20:89:61:b0,-88
689,Smart-CAU_2.4G,48:00:20:89:61:b3,-87
689,Smart-CAU,48:00:20:87:77:f0,-77
689,Smart-CAU_2.4G,f0:5c:19:a9:ea:13,-85
689,Smart-CAU_5G,48:00:20:89:61:b2,-87
689,Smart-CAU_5G,f0:5c:19:a9:ea:12,-85
689,eduroam,f0:5c:19:a9:ea:11,-85
689,Smart-CAU_2.4G,48:00:20:87:77:f3,-77
689,Smart-CAU,f0:5c:19:a9:ea:10,-85
689,Smart-CAU_2.4G,f0:5c:19:a9:ea:02,-92
689,eduroam,f0:5c:19:a9:ed:00,-92
689,Smart-CAU,f0:5c:19:a9:b8:50,-87
689,eduroam,7c:57:3c:de:fd:31,-79
689,GUARD 310,88:36:6c:bd:f1:c6,-90
689,Smart-CAU,7c:57:3c:de:fd:30,-79
689,Smart-CAU_2.4G,f0:5c:19:a9:b8:53,-87
689,Smart-CAU_2.4G,7c:57:3c:de:fd:33,-79
689,Smart-CAU_5G,f0:5c:19:a9:b8:52,-87
689,Smart-CAU_5G,7c:57:3c:de:fd:32,-79
689,eduroam,f0:5c:19:a9:b8:51,-87
689,Smart-CAU_5G,f0:5c:19:a9:e9:72,-64
689,eduroam,48:00:20:86:f6:61,-83
689,eduroam,f0:5c:19:a9:e9:71,-64
689,Smart-CAU,48:00:20:86:f6:60,-84
689,Smart-CAU_2.4G,48:00:20:86:f6:63,-83
689,Smart-CAU_2.4G,f0:5c:19:a9:e9:73,-64
689,Smart-CAU_5G,48:00:20:86:f6:62,-83
689,Smart-CAU,f0:5c:19:a9:e9:70,-64
689,Smart-CAU_2.4G,48:00:20:86:b3:51,-89
689,iptime-x32,00:26:66:61:be:60,-83
689,Smart-CAU_2.4G,b4:5d:50:a0:78:93,-71
689,Smart-CAU,b4:5d:50:a0:78:90,-71
689,Smart-CAU_5G,b4:5d:50:a0:78:92,-71
689,eduroam,f0:5c:19:a9:ed:11,-84
689,eduroam,b4:5d:50:a0:78:91,-71
689,Smart-CAU,f0:5c:19:a9:ed:10,-85
689,Smart-CAU_2.4G,f0:5c:19:a9:ed:13,-84
689,Smart-CAU_5G,f0:5c:19:a9:ed:12,-84
689,eduroam,7c:57:3c:de:fd:20,-86
689,Smart-CAU_2.4G,7c:57:3c:de:fd:22,-86
689,eduroam,f0:5c:19:a9:e9:60,-72
689,Smart-CAU_2.4G,f0:5c:19:a9:e9:62,-72
689,Smart-CAU_2.4G,48:00:20:86:b3:43,-90
689,Smart-CAU_5G,48:00:20:86:b3:42,-89
689,Smart-CAU_2.4G,48:00:20:87:78:01,-86
689,eduroam,48:00:20:86:b3:41,-89
689,Smart-CAU,48:00:20:86:b3:40,-89
689,KT_GiGA_5G_C90A,60:29:d5:7e:c9:0d,-94
689,KT_GiGA_C90A,60:29:d5:7e:c9:0e,-81
689,Smart-CAU_2.4G,b4:5d:50:a0:78:82,-83
689,eduroam,b4:5d:50:a0:78:80,-83
689,iptime,58:86:94:ba:53:7c,-76
689,eduroam,f0:5c:19:a9:ab:e1,-88
689,Smart-CAU_2.4G,f0:5c:19:a9:ab:e2,-90
